model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,Metazoa,0.01,0.9983936852318344,54562,74,436,391597,0.9920724389977817,0.00018893407987826517,0.9814949533679221,0.9867553507605769
v054,Metazoa,0.1,0.9983936852318344,54562,74,436,391597,0.9920724389977817,0.00018893407987826517,0.9982889382354998,0.9951709806150651
v054,Viridiplantae,0.001,0.9983936852318344,30243,74,235,391597,0.9922895203097316,0.00018893407987826517,0.8401866166889397,0.9099254915378238
v054,Viridiplantae,0.01,0.9983936852318344,30243,74,235,391597,0.9922895203097316,0.00018893407987826517,0.9814989267840092,0.9868647277544493
v054,Viridiplantae,0.1,0.9983936852318344,30243,74,235,391597,0.9922895203097316,0.00018893407987826517,0.998289311920909,0.995280374147528
v054,Other_Eukaryota,0.001,0.9983936852318344,2605,74,93,391597,0.9655300222386953,0.00018893407987826517,0.8364816717669151,0.8963850454800167
v054,Other_Eukaryota,0.01,0.9983936852318344,2605,74,93,391597,0.9655300222386953,0.00018893407987826517,0.980995917150661,0.9732015284622271
v054,Other_Eukaryota,0.1,0.9983936852318344,2605,74,93,391597,0.9655300222386953,0.00018893407987826517,0.9982419838458381,0.9816135497154875
v054,fungi_bacteria_only,0.001,0.9983936852318344,23430,65,333,374597,0.9859866178512814,0.00017348970538778953,0.8504996186767569,0.913245333205738
v054,fungi_bacteria_only,0.01,0.9983936852318344,23430,65,333,374597,0.9859866178512814,0.00017348970538778953,0.9828786585379259,0.9844301851544671
v054,fungi_bacteria_only,0.1,0.9983936852318344,23430,65,333,374597,0.9859866178512814,0.00017348970538778953,0.998418904895107,0.9921638172764942
v054,organelle,0.001,0.9983936852318344,2292,74,58,391597,0.9753191489361702,0.00018893407987826517,0.8378567690357459,0.9013772384759966
v054,organelle,0.01,0.9983936852318344,2292,74,58,391597,0.9753191489361702,0.00018893407987826517,0.9811830690155726,0.978242321467638
v054,organelle,0.1,0.9983936852318344,2292,74,58,391597,0.9753191489361702,0.00018893407987826517,0.9982595980714385,0.9866560461138215
raw100,overall,0.001,0.9994805844224834,110847,64,1090,391607,0.990262379731456,0.0001634024474622834,0.8584838808927117,0.9196765494112711
raw100,overall,0.01,0.9994805844224834,110847,64,1090,391607,0.990262379731456,0.0001634024474622834,0.9839266575222162,0.9870843520786599
raw100,overall,0.1,0.9994805844224834,110847,64,1090,391607,0.990262379731456,0.0001634024474622834,0.9985171189982054,0.9943726180739045
raw100,short_1_2kb,0.001,0.9994805844224834,10276,42,434,37266,0.9594771241830066,0.0011257639112254745,0.460376226452055,0.622205747658197
raw100,short_1_2kb,0.01,0.9994805844224834,10276,42,434,37266,0.9594771241830066,0.0011257639112254745,0.8959307693108005,0.9266157388030589
raw100,short_1_2kb,0.1,0.9994805844224834,10276,42,434,37266,0.9594771241830066,0.0011257639112254745,0.9895505557317786,0.9742818239387289
raw100,1000,0.001,0.9994805844224834,5058,31,298,18622,0.9443614637789395,0.0016619310566664879,0.36257021154026936,0.5239712865772885
raw100,1000,0.01,0.9994805844224834,5058,31,298,18622,0.9443614637789395,0.0016619310566664879,0.8516256949374064,0.8955993743715467
raw100,1000,0.1,0.9994805844224834,5058,31,298,18622,0.9443614637789395,0.0016619310566664879,0.9844083334601055,0.96396915388587
raw100,1500,0.001,0.9994805844224834,5218,11,136,18644,0.9745984310795667,0.0005896542481908336,0.623279066834572,0.7603171099845493
raw100,1500,0.01,0.9994805844224834,5218,11,136,18644,0.9745984310795667,0.0005896542481908336,0.9434876781263062,0.9587907512927062
raw100,1500,0.1,0.9994805844224834,5218,11,136,18644,0.9745984310795667,0.0005896542481908336,0.9945842846965699,0.9844899365365604
raw100,2000,0.001,0.9994805844224834,5224,8,105,18637,0.9802964908988553,0.0004290694556181282,0.6957703406439827,0.8138830869613386
raw100,2000,0.01,0.9994805844224834,5224,8,105,18637,0.9802964908988553,0.0004290694556181282,0.9584679891513307,0.9692593567420937
raw100,2000,0.1,0.9994805844224834,5224,8,105,18637,0.9802964908988553,0.0004290694556181282,0.9960762147486417,0.9881233587123482
raw100,2500,0.001,0.9994805844224834,5238,3,59,18645,0.9888616197847838,0.00016087516087516087,0.8601968909182084,0.9200527576207629
raw100,2500,0.01,0.9994805844224834,5238,3,59,18645,0.9888616197847838,0.00016087516087516087,0.9841492565653939,0.9864998106422206
raw100,2500,0.1,0.9994805844224834,5238,3,59,18645,0.9888616197847838,0.00016087516087516087,0.9985379556054097,0.9936762314168139
raw100,3000,0.001,0.9994805844224834,5247,1,59,18645,0.9888805126272144,5.363080553469913e-05,0.948604940633098,0.9683241114357239
raw100,3000,0.01,0.9994805844224834,5247,1,59,18645,0.9888805126272144,5.363080553469913e-05,0.9946595218732134,0.9917615987289629
