model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
raw100,overall,0.01,0.9994805844224834,53856,65,571,538369,0.9895088834585776,0.00012072045970351055,0.9880661004764745,0.9887869656606222
raw100,overall,0.1,0.9994805844224834,53856,65,571,538369,0.9895088834585776,0.00012072045970351055,0.9989032008700299,0.9941838502855873
raw100,short_1_2kb,0.001,0.9994805844224834,5886,42,193,59779,0.9682513571311071,0.0007020945821701409,0.5799149083162811,0.7253786747969706
raw100,short_1_2kb,0.01,0.9994805844224834,5886,42,193,59779,0.9682513571311071,0.0007020945821701409,0.93302165306446,0.950310110087186
raw100,short_1_2kb,0.1,0.9994805844224834,5886,42,193,59779,0.9682513571311071,0.0007020945821701409,0.9935162688277783,0.9807211240466165
raw100,1000,0.001,0.9994805844224834,2919,35,122,29873,0.9598816178888524,0.0011702554500468102,0.4508673466676399,0.6135454131751135
raw100,1000,0.01,0.9994805844224834,2919,35,122,29873,0.9598816178888524,0.0011702554500468102,0.8923014644631214,0.924858650869256
raw100,1000,0.1,0.9994805844224834,2919,35,122,29873,0.9598816178888524,0.0011702554500468102,0.9891465910921388,0.974294395341946
raw100,1500,0.001,0.9994805844224834,2967,7,71,29906,0.9766293614219882,0.00023401196804065123,0.8068600935456145,0.8836646112165022
raw100,1500,0.01,0.9994805844224834,2967,7,71,29906,0.9766293614219882,0.00023401196804065123,0.9768281007543651,0.9767287209785829
raw100,1500,0.1,0.9994805844224834,2967,7,71,29906,0.9766293614219882,0.00023401196804065123,0.9978481338637614,0.987124733604981
raw100,2000,0.001,0.9994805844224834,2986,2,42,29912,0.9861294583883752,6.685832720465334e-05,0.9365655414876314,0.9607086617814827
raw100,2000,0.01,0.9994805844224834,2986,2,42,29912,0.9861294583883752,6.685832720465334e-05,0.9933326770663192,0.9897179615510802
raw100,2000,0.1,0.9994805844224834,2986,2,42,29912,0.9861294583883752,6.685832720465334e-05,0.9993901835119782,0.9927155386305527
raw100,2500,0.001,0.9994805844224834,3001,4,34,29904,0.9887973640856672,0.00013374348000534973,0.8809614297231276,0.9317697474730517
raw100,2500,0.01,0.9994805844224834,3001,4,34,29904,0.9887973640856672,0.00013374348000534973,0.9867863245352401,0.9877908207445838
raw100,2500,0.1,0.9994805844224834,3001,4,34,29904,0.9887973640856672,0.00013374348000534973,0.9987841514779447,0.9937656680127481
raw100,3000,0.001,0.9994805844224834,2985,2,37,29918,0.9877564526803442,6.684491978609626e-05,0.9366753073304602,0.9615379439350056
raw100,3000,0.01,0.9994805844224834,2985,2,37,29918,0.9877564526803442,6.684491978609626e-05,0.9933449120803133,0.9905428001792912
raw100,3000,0.1,0.9994805844224834,2985,2,37,29918,0.9877564526803442,6.684491978609626e-05,0.9993913093804018,0.9935398196754462
raw100,3500,0.001,0.9994805844224834,3004,4,30,29918,0.990112063282795,0.0001336809036829089,0.8811497182146237,0.9324584878385045
raw100,3500,0.01,0.9994805844224834,3004,4,30,29918,0.990112063282795,0.0001336809036829089,0.9868097314097601,0.988458139170454
raw100,3500,0.1,0.9994805844224834,3004,4,30,29918,0.990112063282795,0.0001336809036829089,0.9987863313872677,0.9944302816057639
raw100,4000,0.001,0.9994805844224834,2995,2,28,29915,0.9907376778035064,6.685162282314403e-05,0.9368478926728872,0.9630394830279333
raw100,4000,0.01,0.9994805844224834,2995,2,28,29915,0.9907376778035064,6.685162282314403e-05,0.9933641440608477,0.9920491725322309
raw100,4000,0.1,0.9994805844224834,2995,2,28,29915,0.9907376778035064,6.685162282314403e-05,0.9993930790601467,0.995046556560285
raw100,4500,0.001,0.9994805844224834,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.967478357060553,0.9802590154040692
raw100,4500,0.01,0.9994805844224834,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.996679858393538,0.9950281295861815
raw100,4500,0.1,0.9994805844224834,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.9996972551669431,0.9965295550822573
raw100,5000,0.001,0.9994805844224834,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.9673383766497596,0.978072471127444
raw100,5000,0.01,0.9994805844224834,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.9966651345144697,0.9928416861399104
raw100,5000,0.1,0.9994805844224834,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.999695908497446,0.9943431769404318
raw100,5500,0.001,0.9994805844224834,3012,0,16,29939,0.9947159841479525,0.0,1.0,0.9973509933774835
raw100,5500,0.01,0.9994805844224834,3012,0,16,29939,0.9947159841479525,0.0,1.0,0.9973509933774836
raw100,5500,0.1,0.9994805844224834,3012,0,16,29939,0.9947159841479525,0.0,1.0,0.9973509933774835
raw100,6000,0.001,0.9994805844224834,3003,1,19,29906,0.9937127729980145,3.3436987996121306e-05,0.9674783174725149,0.9804200787394033
raw100,6000,0.01,0.9994805844224834,3003,1,19,29906,0.9937127729980145,3.3436987996121306e-05,0.9966798542299997,0.9951941020978178
raw100,6000,0.1,0.9994805844224834,3003,1,19,29906,0.9937127729980145,3.3436987996121306e-05,0.9996972547861444,0.996696030787306
raw100,6500,0.001,0.9994805844224834,2994,1,15,29925,0.9950149551345963,3.3415758871883984e-05,0.9675394488395722,0.9810848752305268
raw100,6500,0.01,0.9994805844224834,2994,1,15,29925,0.9950149551345963,3.3415758871883984e-05,0.9966862831504756,0.9958499178984729
raw100,6500,0.1,0.9994805844224834,2994,1,15,29925,0.9950149551345963,3.3415758871883984e-05,0.9996978427741426,0.9973509020636222
raw100,7000,0.001,0.9994805844224834,3001,2,25,29916,0.9917382683410443,6.68493883280968e-05,0.9369095642896965,0.9635445654310126
